regione,popolazione
Puglia,3953305
Lombardia,10027602
Lazio,5755700
Campania,5712143
Veneto,4879133
ValleAosta,125034
EmiliaRomagna,4464119
Piemonte,4311217
Toscana,3692555
Calabria,1894110
Liguria,1524826
Marche,1512672
Abruzzo,1293941
FriuliVeneziaGiulia,1206216
TrentinoAltoAdige,1078069
Umbria,870165
Basilicata,553254
Molise,300516
Sardegna,1611621
Sicilia,4875290
